"","mature_mirna_id","target_symbol"
"85307","hsa-miR-1275","GSTO1"
"85311","hsa-miR-1275","HACD2"
"85317","hsa-miR-1275","HCFC2"
"85336","hsa-miR-1275","HOMEZ"
"85348","hsa-miR-1275","HSD11B1L"
"85378","hsa-miR-1275","INTU"
"85381","hsa-miR-1275","IQCA1L"
"85384","hsa-miR-1275","IRF4"
"85406","hsa-miR-1275","KCNH2"
"85415","hsa-miR-1275","KDM5C"
"85423","hsa-miR-1275","KIF1C"
"85434","hsa-miR-1275","KMT2A"
"85464","hsa-miR-1275","LPIN1"
"85472","hsa-miR-1275","LRRC58"
"85476","hsa-miR-1275","LTBP2"
"85480","hsa-miR-1275","LYSMD3"
"85514","hsa-miR-1275","MCU"
"85519","hsa-miR-1275","MED13L"
"85526","hsa-miR-1275","MEN1"
"85528","hsa-miR-1275","MEX3A"
"85537","hsa-miR-1275","MOB3A"
"85544","hsa-miR-1275","MRM2"
"85550","hsa-miR-1275","MSN"
"85562","hsa-miR-1275","MYH14"
"85563","hsa-miR-1275","MYL12B"
"85570","hsa-miR-1275","NAA50"
"85586","hsa-miR-1275","NDOR1"
"85593","hsa-miR-1275","NEDD9"
"85598","hsa-miR-1275","NF2"
"85600","hsa-miR-1275","NGFR"
"85602","hsa-miR-1275","NKAPD1"
"85605","hsa-miR-1275","NMNAT2"
"85614","hsa-miR-1275","NRBP1"
"85624","hsa-miR-1275","NTSR1"
"85653","hsa-miR-1275","P3H2"
"85659","hsa-miR-1275","PADI1"
"85667","hsa-miR-1275","PARP1"
"85670","hsa-miR-1275","PAXIP1-AS2"
"85682","hsa-miR-1275","PCLO"
"85683","hsa-miR-1275","PCP4L1"
"85702","hsa-miR-1275","PHB2"
"85707","hsa-miR-1275","PHF7"
"85711","hsa-miR-1275","PIEZO1"
"85714","hsa-miR-1275","PIN1"
"85720","hsa-miR-1275","PISD"
"85726","hsa-miR-1275","PLEKHA3"
"85729","hsa-miR-1275","PLEKHM1"
"85740","hsa-miR-1275","POLD3"
"85745","hsa-miR-1275","POMGNT1"
"85747","hsa-miR-1275","POTEG"
"85748","hsa-miR-1275","POTEM"
"85761","hsa-miR-1275","PRDX1"
"85763","hsa-miR-1275","PRPF4B"
"85767","hsa-miR-1275","PRR3"
"85776","hsa-miR-1275","PRRC2B"
"85778","hsa-miR-1275","PSAP"
"85791","hsa-miR-1275","PTPA"
"85795","hsa-miR-1275","PTPRF"
"85805","hsa-miR-1275","R3HDM4"
"85806","hsa-miR-1275","RAB11FIP4"
"85822","hsa-miR-1275","RAP1GAP2"
"85832","hsa-miR-1275","RBM12"
"85840","hsa-miR-1275","RCE1"
"85842","hsa-miR-1275","REEP5"
"85851","hsa-miR-1275","RHOXF2B"
"85853","hsa-miR-1275","RICTOR"
"85863","hsa-miR-1275","RNF38"
"85881","hsa-miR-1275","RPS6KA4"
"85886","hsa-miR-1275","RSRC1"
"85888","hsa-miR-1275","RTBDN"
"85894","hsa-miR-1275","SACS"
"85898","hsa-miR-1275","SCAF4"
"85905","hsa-miR-1275","SEC31B"
"85907","hsa-miR-1275","SECISBP2L"
"85910","hsa-miR-1275","SENP2"
"85919","hsa-miR-1275","SETD1B"
